Target,Port,Status,Version
147.185.221.31,20012,Worked (No MC),Unknown
147.185.221.31,20022,Worked,1.12.2
147.185.221.31,20030,Worked (No MC),Unknown
147.185.221.31,20063,Worked (No MC),Unknown
147.185.221.31,20067,Worked,1.21.8
147.185.221.31,20070,Worked,1.20.1
147.185.221.31,20079,Worked,Cardboard (PaperMC+Fabric) 1.21.4
147.185.221.31,20084,Worked (No MC),Unknown
147.185.221.31,20086,Not worked,Unknown
147.185.221.31,20102,Worked,Spigot 1.21.5
147.185.221.31,20106,Worked,1.21.1
147.185.221.31,20112,Worked,1.21.8
147.185.221.31,20119,Worked,1.21.8
147.185.221.31,20121,Worked (No MC),Unknown
147.185.221.31,20126,Worked,1.20.1
147.185.221.31,20130,Worked (No MC),Unknown
147.185.221.31,20131,Worked (No MC),Unknown
147.185.221.31,20132,Worked (No MC),Unknown
147.185.221.31,20157,Worked (No MC),Unknown
147.185.221.31,20159,Worked (No MC),Unknown
147.185.221.31,20172,Worked (No MC),Unknown
147.185.221.31,20174,Worked,1.20.1
147.185.221.31,20179,Worked,1.20.1
147.185.221.31,20206,Worked,1.21.1
147.185.221.31,20212,Worked,1.21.1
147.185.221.31,20225,Worked,Paper 1.21.8
147.185.221.31,20226,Worked (No MC),Unknown
147.185.221.31,20258,Worked,1.21.1
147.185.221.31,20278,Worked,1.21.8
147.185.221.31,20279,Worked,1.21.8
147.185.221.31,20285,Worked (No MC),Unknown
147.185.221.31,20303,Worked (No MC),Unknown
147.185.221.31,20315,Worked (No MC),Unknown
147.185.221.31,20316,Worked (No MC),Unknown
147.185.221.31,20317,Worked,Paper 1.21.8
147.185.221.31,20330,Worked,Purpur 1.21.6
147.185.221.31,20338,Worked (No MC),Unknown
147.185.221.31,20339,Worked (No MC),Unknown
147.185.221.31,20360,Worked,1.19.2
147.185.221.31,20366,Worked (No MC),Unknown
147.185.221.31,20368,Worked,1.20.1
147.185.221.31,20385,Worked (No MC),Unknown
147.185.221.31,20393,Worked (No MC),Unknown
147.185.221.31,20411,Worked,Purpur 1.21
147.185.221.31,20412,Worked,1.21.8
147.185.221.31,20415,Worked,1.19.2
147.185.221.31,20417,Worked,1.21.8
147.185.221.31,20420,Worked (No MC),Unknown
147.185.221.31,20421,Worked,1.21.4
147.185.221.31,20440,Worked,1.21.8
147.185.221.31,20444,Worked,1.21.7
147.185.221.31,20484,Worked (No MC),Unknown
147.185.221.31,20489,Worked,1.21.1
147.185.221.31,20499,Worked,1.20.1
147.185.221.31,20519,Worked (No MC),Unknown
147.185.221.31,20520,Worked,Paper 1.21
147.185.221.31,20521,Worked,Folia 1.21.8
147.185.221.31,20525,Worked (No MC),Unknown
147.185.221.31,20527,Worked,1.21.8
147.185.221.31,20539,Worked,Paper 1.21
147.185.221.31,20542,Worked,Paper 1.21.4
147.185.221.31,20548,Worked,1.21.8
147.185.221.31,20560,Worked,1.21.8
147.185.221.31,20562,Worked (No MC),Unknown
147.185.221.31,20579,Worked (No MC),Unknown
147.185.221.31,20581,Not worked,Unknown
147.185.221.31,20583,Worked (No MC),Unknown
147.185.221.31,20626,Worked,1.20.1
147.185.221.31,20666,Worked (No MC),Unknown
147.185.221.31,20698,Worked,1.20.1
147.185.221.31,20702,Worked,1.21.1
147.185.221.31,20707,Worked (No MC),Unknown
147.185.221.31,20726,Worked (No MC),Unknown
147.185.221.31,20736,Worked,Paper 1.21.1
147.185.221.31,20738,Worked (No MC),Unknown
147.185.221.31,20747,Worked,1.20.1
147.185.221.31,20748,Worked,1.21.1
147.185.221.31,20753,Worked (No MC),Unknown
147.185.221.31,20790,Worked,Paper 1.21.8
147.185.221.31,20794,Worked,Velocity 1.7.2-1.21.8
147.185.221.31,20801,Worked,Spigot 1.21.8
147.185.221.31,20806,Worked,Paper 1.21.5
147.185.221.31,20809,Worked,1.21.8
147.185.221.31,20816,Worked,1.20.1
147.185.221.31,20823,Worked,1.12.2
147.185.221.31,20832,Worked (No MC),Unknown
147.185.221.31,20834,Worked (No MC),Unknown
147.185.221.31,20852,Worked,1.20.1
147.185.221.31,20856,Worked (No MC),Unknown
147.185.221.31,20864,Not worked,Unknown
147.185.221.31,20899,Worked (No MC),Unknown
147.185.221.31,20912,Not worked,Unknown
147.185.221.31,20925,Worked (No MC),Unknown
147.185.221.31,20933,Worked,1.20.1
147.185.221.31,20948,Worked,1.21.4
147.185.221.31,20950,Worked,1.18.2
147.185.221.31,20980,Worked,mohist 1.20.1
147.185.221.31,21001,Worked,1.20.1
147.185.221.31,21011,Not worked,Unknown
147.185.221.31,21014,Worked,1.19.2
147.185.221.31,21025,Worked (No MC),Unknown
147.185.221.31,21033,Worked,1.21.8
147.185.221.31,21036,Worked,Paper 1.21.8
147.185.221.31,21038,Worked,1.20.1
147.185.221.31,21045,Worked (No MC),Unknown
147.185.221.31,21060,Not worked,Unknown
147.185.221.31,21063,Worked,1.21.8
147.185.221.31,21065,Worked,1.21.4
147.185.221.31,21070,Worked,1.21.8
147.185.221.31,21072,Worked,1.20.1
147.185.221.31,21092,Worked,1.21.8
147.185.221.31,21098,Worked,Purpur 1.21.8
147.185.221.31,21100,Not worked,Unknown
147.185.221.31,21152,Worked (No MC),Unknown
147.185.221.31,21168,Not worked,Unknown
147.185.221.31,21194,Worked (No MC),Unknown
147.185.221.31,21198,Worked (No MC),Unknown
147.185.221.31,21209,Worked,1.20.1
147.185.221.31,21210,Worked,1.21.8
147.185.221.31,21211,Worked,1.21.8
147.185.221.31,21226,Worked,Paper 1.21.8
147.185.221.31,21227,Not worked,Unknown
147.185.221.31,21238,Worked (No MC),Unknown
147.185.221.31,21240,Worked (No MC),Unknown
147.185.221.31,21247,Not worked,Unknown
147.185.221.31,21248,Worked (No MC),Unknown
147.185.221.31,21249,Worked (No MC),Unknown
147.185.221.31,21259,Worked,1.21.8
147.185.221.31,21320,Worked,Paper 1.21.8
147.185.221.31,21336,Worked,Paper 1.21.8
147.185.221.31,21340,Worked (No MC),Unknown
147.185.221.31,21343,Not worked,Unknown
147.185.221.31,21351,Worked,Paper 1.21.8
147.185.221.31,21355,Worked,Paper 1.21.8
147.185.221.31,21363,Worked (No MC),Unknown
147.185.221.31,21371,Not worked,Unknown
147.185.221.31,21374,Worked,Paper 1.21.8
147.185.221.31,21378,Worked (No MC),Unknown
147.185.221.31,21393,Worked,1.21.1
147.185.221.31,21398,Worked,Paper 1.21.8
147.185.221.31,21428,Not worked,Unknown
147.185.221.31,21434,Worked,Spigot 1.21.8
147.185.221.31,21448,Not worked,Unknown
147.185.221.31,21451,Not worked,Unknown
147.185.221.31,21452,Not worked,Unknown
147.185.221.31,21494,Worked (No MC),Unknown
147.185.221.31,21506,Worked,1.21.1
147.185.221.31,21511,Worked,1.21.8
147.185.221.31,21518,Worked (No MC),Unknown
147.185.221.31,21528,Not worked,Unknown
147.185.221.31,21573,Worked,1.21.8
147.185.221.31,21583,Worked,Paper 1.21.8
147.185.221.31,21618,Worked,1.21.1
147.185.221.31,21622,Worked (No MC),Unknown
147.185.221.31,21628,Worked,1.21.8
147.185.221.31,21631,Worked,1.20.1
147.185.221.31,21649,Worked (No MC),Unknown
147.185.221.31,21650,Worked,Paper 1.21.8
147.185.221.31,21663,Worked,Paper 1.21.5
147.185.221.31,21664,Worked (No MC),Unknown
147.185.221.31,21665,Worked,1.21.8
147.185.221.31,21671,Worked (No MC),Unknown
147.185.221.31,21688,Worked,1.21.8
147.185.221.31,21693,Not worked,Unknown
147.185.221.31,21695,Worked,1.21.8
147.185.221.31,21697,Worked,Paper 1.21.8
147.185.221.31,21702,Worked (No MC),Unknown
147.185.221.31,21703,Worked (No MC),Unknown
147.185.221.31,21720,Worked (No MC),Unknown
147.185.221.31,21723,Worked,Paper 1.21.8
147.185.221.31,21726,Worked,1.21.8
147.185.221.31,21729,Worked (No MC),Unknown
147.185.221.31,21750,Worked (No MC),Unknown
147.185.221.31,21756,Worked,1.21.1
147.185.221.31,21762,Worked,1.21.1
147.185.221.31,21764,Worked,Paper 1.21.8
147.185.221.31,21771,Worked,1.20.1
147.185.221.31,21788,Worked (No MC),Unknown
147.185.221.31,21803,Worked,1.21.1
147.185.221.31,21808,Worked,1.21.7
147.185.221.31,21811,Worked,1.21.8
147.185.221.31,21823,Not worked,Unknown
147.185.221.31,21831,Worked,1.19.2
147.185.221.31,21849,Not worked,Unknown
