Target,Port,Type,Status
147.185.221.31,20000,TCP,Offline
147.185.221.31,20001,TCP,Offline
147.185.221.31,20002,TCP,Offline
147.185.221.31,20003,TCP,Offline
147.185.221.31,20004,TCP,Offline
147.185.221.31,20005,TCP,Offline
147.185.221.31,20006,TCP,Offline
147.185.221.31,20007,TCP,Offline
147.185.221.31,20008,TCP,Offline
147.185.221.31,20009,TCP,Offline
147.185.221.31,20010,TCP,Offline
147.185.221.31,20011,TCP,Offline
147.185.221.31,20013,TCP,Offline
147.185.221.31,20014,TCP,Offline
147.185.221.31,20015,TCP,Offline
147.185.221.31,20016,TCP,Offline
147.185.221.31,20017,TCP,Offline
147.185.221.31,20018,TCP,Offline
147.185.221.31,20019,TCP,Offline
147.185.221.31,20020,TCP,Offline
147.185.221.31,20021,TCP,Offline
147.185.221.31,20023,TCP,Offline
147.185.221.31,20024,TCP,Offline
147.185.221.31,20025,TCP,Offline
147.185.221.31,20026,TCP,Offline
147.185.221.31,20027,TCP,Offline
147.185.221.31,20028,TCP,Offline
147.185.221.31,20029,TCP,Offline
147.185.221.31,20031,TCP,Offline
147.185.221.31,20032,TCP,Offline
147.185.221.31,20033,TCP,Offline
147.185.221.31,20034,TCP,Offline
147.185.221.31,20035,TCP,Offline
147.185.221.31,20036,TCP,Offline
147.185.221.31,20037,TCP,Offline
147.185.221.31,20038,TCP,Offline
147.185.221.31,20039,TCP,Offline
147.185.221.31,20040,TCP,Offline
147.185.221.31,20041,TCP,Offline
147.185.221.31,20042,TCP,Offline
147.185.221.31,20043,TCP,Offline
147.185.221.31,20044,TCP,Offline
147.185.221.31,20045,TCP,Offline
147.185.221.31,20046,TCP,Offline
147.185.221.31,20047,TCP,Offline
147.185.221.31,20048,TCP,Offline
147.185.221.31,20049,TCP,Offline
147.185.221.31,20050,TCP,Offline
147.185.221.31,20051,TCP,Offline
147.185.221.31,20052,TCP,Offline
147.185.221.31,20053,TCP,Offline
147.185.221.31,20054,TCP,Offline
147.185.221.31,20055,TCP,Offline
147.185.221.31,20056,TCP,Offline
147.185.221.31,20057,TCP,Offline
147.185.221.31,20058,TCP,Offline
147.185.221.31,20059,TCP,Offline
147.185.221.31,20060,TCP,Offline
147.185.221.31,20061,TCP,Offline
147.185.221.31,20062,TCP,Offline
147.185.221.31,20064,TCP,Offline
147.185.221.31,20065,TCP,Offline
147.185.221.31,20066,TCP,Offline
147.185.221.31,20068,TCP,Offline
147.185.221.31,20069,TCP,Offline
147.185.221.31,20071,TCP,Offline
