Target,Port,Type,Status
147.185.221.31,20012,TCP,Online
147.185.221.31,20022,TCP,Online
147.185.221.31,20030,TCP,Online
147.185.221.31,20063,TCP,Online
147.185.221.31,20067,TCP,Online
147.185.221.31,20070,TCP,Online
147.185.221.31,20079,TCP,Online
147.185.221.31,20084,TCP,Online
147.185.221.31,20086,TCP,Online
147.185.221.31,20102,TCP,Online
147.185.221.31,20106,TCP,Online
147.185.221.31,20112,TCP,Online
147.185.221.31,20119,TCP,Online
147.185.221.31,20121,TCP,Online
147.185.221.31,20126,TCP,Online
147.185.221.31,20130,TCP,Online
147.185.221.31,20131,TCP,Online
147.185.221.31,20132,TCP,Online
147.185.221.31,20157,TCP,Online
147.185.221.31,20159,TCP,Online
147.185.221.31,20172,TCP,Online
147.185.221.31,20174,TCP,Online
147.185.221.31,20179,TCP,Online
147.185.221.31,20206,TCP,Online
147.185.221.31,20212,TCP,Online
147.185.221.31,20225,TCP,Online
147.185.221.31,20226,TCP,Online
147.185.221.31,20258,TCP,Online
147.185.221.31,20278,TCP,Online
147.185.221.31,20279,TCP,Online
147.185.221.31,20285,TCP,Online
147.185.221.31,20303,TCP,Online
147.185.221.31,20315,TCP,Online
147.185.221.31,20316,TCP,Online
147.185.221.31,20317,TCP,Online
147.185.221.31,20330,TCP,Online
147.185.221.31,20338,TCP,Online
147.185.221.31,20339,TCP,Online
147.185.221.31,20360,TCP,Online
147.185.221.31,20366,TCP,Online
147.185.221.31,20368,TCP,Online
147.185.221.31,20385,TCP,Online
147.185.221.31,20393,TCP,Online
147.185.221.31,20411,TCP,Online
147.185.221.31,20412,TCP,Online
147.185.221.31,20415,TCP,Online
147.185.221.31,20417,TCP,Online
147.185.221.31,20420,TCP,Online
147.185.221.31,20421,TCP,Online
147.185.221.31,20440,TCP,Online
147.185.221.31,20444,TCP,Online
147.185.221.31,20484,TCP,Online
147.185.221.31,20489,TCP,Online
147.185.221.31,20499,TCP,Online
147.185.221.31,20519,TCP,Online
147.185.221.31,20520,TCP,Online
147.185.221.31,20521,TCP,Online
147.185.221.31,20525,TCP,Online
147.185.221.31,20527,TCP,Online
147.185.221.31,20539,TCP,Online
147.185.221.31,20542,TCP,Online
147.185.221.31,20548,TCP,Online
147.185.221.31,20560,TCP,Online
147.185.221.31,20562,TCP,Online
147.185.221.31,20579,TCP,Online
147.185.221.31,20581,TCP,Online
147.185.221.31,20583,TCP,Online
147.185.221.31,20626,TCP,Online
147.185.221.31,20666,TCP,Online
147.185.221.31,20698,TCP,Online
147.185.221.31,20702,TCP,Online
147.185.221.31,20707,TCP,Online
147.185.221.31,20726,TCP,Online
147.185.221.31,20736,TCP,Online
147.185.221.31,20738,TCP,Online
147.185.221.31,20747,TCP,Online
147.185.221.31,20748,TCP,Online
147.185.221.31,20753,TCP,Online
147.185.221.31,20790,TCP,Online
147.185.221.31,20794,TCP,Online
147.185.221.31,20801,TCP,Online
147.185.221.31,20806,TCP,Online
147.185.221.31,20809,TCP,Online
147.185.221.31,20816,TCP,Online
147.185.221.31,20823,TCP,Online
147.185.221.31,20832,TCP,Online
147.185.221.31,20834,TCP,Online
147.185.221.31,20852,TCP,Online
147.185.221.31,20856,TCP,Online
147.185.221.31,20864,TCP,Online
147.185.221.31,20899,TCP,Online
147.185.221.31,20912,TCP,Online
147.185.221.31,20925,TCP,Online
147.185.221.31,20933,TCP,Online
147.185.221.31,20948,TCP,Online
147.185.221.31,20950,TCP,Online
147.185.221.31,20980,TCP,Online
147.185.221.31,21001,TCP,Online
147.185.221.31,21011,TCP,Online
147.185.221.31,21014,TCP,Online
147.185.221.31,21025,TCP,Online
147.185.221.31,21033,TCP,Online
147.185.221.31,21036,TCP,Online
147.185.221.31,21038,TCP,Online
147.185.221.31,21045,TCP,Online
147.185.221.31,21060,TCP,Online
147.185.221.31,21063,TCP,Online
147.185.221.31,21065,TCP,Online
147.185.221.31,21070,TCP,Online
147.185.221.31,21072,TCP,Online
147.185.221.31,21092,TCP,Online
147.185.221.31,21098,TCP,Online
147.185.221.31,21100,TCP,Online
147.185.221.31,21152,TCP,Online
147.185.221.31,21168,TCP,Online
147.185.221.31,21194,TCP,Online
147.185.221.31,21198,TCP,Online
147.185.221.31,21209,TCP,Online
147.185.221.31,21210,TCP,Online
147.185.221.31,21211,TCP,Online
147.185.221.31,21226,TCP,Online
147.185.221.31,21227,TCP,Online
147.185.221.31,21238,TCP,Online
147.185.221.31,21240,TCP,Online
147.185.221.31,21247,TCP,Online
147.185.221.31,21248,TCP,Online
147.185.221.31,21249,TCP,Online
147.185.221.31,21259,TCP,Online
147.185.221.31,21320,TCP,Online
147.185.221.31,21336,TCP,Online
147.185.221.31,21340,TCP,Online
147.185.221.31,21343,TCP,Online
147.185.221.31,21351,TCP,Online
147.185.221.31,21355,TCP,Online
147.185.221.31,21363,TCP,Online
147.185.221.31,21371,TCP,Online
147.185.221.31,21374,TCP,Online
147.185.221.31,21378,TCP,Online
147.185.221.31,21393,TCP,Online
147.185.221.31,21398,TCP,Online
147.185.221.31,21428,TCP,Online
147.185.221.31,21434,TCP,Online
147.185.221.31,21448,TCP,Online
147.185.221.31,21451,TCP,Online
147.185.221.31,21452,TCP,Online
147.185.221.31,21494,TCP,Online
147.185.221.31,21506,TCP,Online
147.185.221.31,21511,TCP,Online
147.185.221.31,21518,TCP,Online
147.185.221.31,21528,TCP,Online
147.185.221.31,21573,TCP,Online
147.185.221.31,21583,TCP,Online
147.185.221.31,21618,TCP,Online
147.185.221.31,21622,TCP,Online
147.185.221.31,21628,TCP,Online
147.185.221.31,21631,TCP,Online
147.185.221.31,21649,TCP,Online
147.185.221.31,21650,TCP,Online
147.185.221.31,21663,TCP,Online
147.185.221.31,21664,TCP,Online
147.185.221.31,21665,TCP,Online
147.185.221.31,21671,TCP,Online
147.185.221.31,21688,TCP,Online
147.185.221.31,21693,TCP,Online
147.185.221.31,21695,TCP,Online
147.185.221.31,21697,TCP,Online
147.185.221.31,21702,TCP,Online
147.185.221.31,21703,TCP,Online
147.185.221.31,21720,TCP,Online
147.185.221.31,21723,TCP,Online
147.185.221.31,21726,TCP,Online
147.185.221.31,21729,TCP,Online
147.185.221.31,21750,TCP,Online
147.185.221.31,21756,TCP,Online
147.185.221.31,21762,TCP,Online
147.185.221.31,21764,TCP,Online
147.185.221.31,21771,TCP,Online
147.185.221.31,21788,TCP,Online
147.185.221.31,21803,TCP,Online
147.185.221.31,21808,TCP,Online
147.185.221.31,21811,TCP,Online
147.185.221.31,21823,TCP,Online
147.185.221.31,21831,TCP,Online
147.185.221.31,21849,TCP,Online
147.185.221.31,21886,TCP,Online
147.185.221.31,21887,TCP,Online
147.185.221.31,21892,TCP,Online
147.185.221.31,21894,TCP,Online
147.185.221.31,21895,TCP,Online
147.185.221.31,21916,TCP,Online
147.185.221.31,21932,TCP,Online
147.185.221.31,21947,TCP,Online
147.185.221.31,21953,TCP,Online
147.185.221.31,21960,TCP,Online
147.185.221.31,21963,TCP,Online
147.185.221.31,21968,TCP,Online
147.185.221.31,21970,TCP,Online
147.185.221.31,21973,TCP,Online
147.185.221.31,21974,TCP,Online
147.185.221.31,21982,TCP,Online
147.185.221.31,21986,TCP,Online
147.185.221.31,22017,TCP,Online
147.185.221.31,22018,TCP,Online
147.185.221.31,22019,TCP,Online
147.185.221.31,22032,TCP,Online
147.185.221.31,22033,TCP,Online
