Target,Port,Type,Status
147.185.221.31,28000,TCP,Online
147.185.221.31,28012,TCP,Online
147.185.221.31,28021,TCP,Online
147.185.221.31,28023,TCP,Online
147.185.221.31,28052,TCP,Online
147.185.221.31,28053,TCP,Online
147.185.221.31,28054,TCP,Online
147.185.221.31,28055,TCP,Online
147.185.221.31,28057,TCP,Online
147.185.221.31,28058,TCP,Online
147.185.221.31,28062,TCP,Online
147.185.221.31,28071,TCP,Online
147.185.221.31,28072,TCP,Online
147.185.221.31,28074,TCP,Online
147.185.221.31,28087,TCP,Online
147.185.221.31,28102,TCP,Online
147.185.221.31,28108,TCP,Online
147.185.221.31,28116,TCP,Online
147.185.221.31,28133,TCP,Online
147.185.221.31,28134,TCP,Online
147.185.221.31,28143,TCP,Online
147.185.221.31,28144,TCP,Online
147.185.221.31,28167,TCP,Online
147.185.221.31,28174,TCP,Online
147.185.221.31,28179,TCP,Online
147.185.221.31,28180,TCP,Online
147.185.221.31,28181,TCP,Online
147.185.221.31,28184,TCP,Online
147.185.221.31,28187,TCP,Online
147.185.221.31,28193,TCP,Online
